2,0,614.30,329.74,55.28,95.20,1,-1,-1,-1
2,1,578.70,252.82,72.83,111.79,1,-1,-1,-1
2,2,323.11,330.48,167.01,101.52,1,-1,-1,-1
2,3,347.71,164.68,115.88,50.26,1,-1,-1,-1
2,4,344.37,0.00,137.39,57.45,1,-1,-1,-1
2,5,195.90,118.46,101.09,108.94,1,-1,-1,-1
2,6,-0.00,217.81,48.19,91.13,1,-1,-1,-1
3,0,602.40,326.08,61.10,105.92,1,-1,-1,-1
3,1,559.15,277.13,84.72,105.63,1,-1,-1,-1
3,2,324.93,327.25,183.02,104.75,1,-1,-1,-1
3,3,363.55,171.37,104.91,54.19,1,-1,-1,-1
3,4,346.73,1.51,145.68,56.80,1,-1,-1,-1
3,5,179.25,110.39,100.45,106.35,1,-1,-1,-1
3,6,5.41,217.18,71.03,104.30,1,-1,-1,-1
4,0,599.28,311.77,67.09,118.72,1,-1,-1,-1
4,1,571.39,263.63,84.18,140.91,1,-1,-1,-1
4,2,320.17,321.15,181.32,105.18,1,-1,-1,-1
4,3,368.75,156.12,113.67,56.00,1,-1,-1,-1
4,4,326.93,0.00,179.28,66.37,1,-1,-1,-1
4,5,182.89,112.40,103.42,119.08,1,-1,-1,-1
4,6,0.89,236.79,54.34,93.08,1,-1,-1,-1
5,0,615.81,327.34,59.12,104.66,1,-1,-1,-1
5,1,546.29,274.09,58.25,157.56,1,-1,-1,-1
5,2,350.53,315.52,156.69,112.47,1,-1,-1,-1
5,3,357.65,168.71,117.38,57.19,1,-1,-1,-1
5,4,332.74,6.45,163.29,57.29,1,-1,-1,-1
5,5,175.38,100.83,104.94,117.20,1,-1,-1,-1
5,6,-1.94,220.51,50.05,100.90,1,-1,-1,-1
6,0,611.06,351.44,57.34,80.56,1,-1,-1,-1
6,1,549.78,321.96,40.36,107.27,1,-1,-1,-1
6,2,363.21,324.89,144.49,107.11,1,-1,-1,-1
6,3,353.18,159.33,107.24,53.28,1,-1,-1,-1
6,4,318.17,5.22,163.48,54.73,1,-1,-1,-1
6,5,176.62,118.36,97.56,100.27,1,-1,-1,-1
6,6,0.38,239.66,39.18,82.67,1,-1,-1,-1
7,0,583.68,341.96,79.00,85.90,1,-1,-1,-1
7,1,570.82,330.63,49.63,101.37,1,-1,-1,-1
7,2,342.06,325.13,142.03,106.87,1,-1,-1,-1
7,3,319.66,137.77,129.76,70.07,1,-1,-1,-1
7,4,332.99,9.43,158.11,60.29,1,-1,-1,-1
7,5,172.00,121.73,94.67,91.79,1,-1,-1,-1
7,6,0.53,234.98,40.89,89.70,1,-1,-1,-1
8,0,599.08,344.43,90.06,87.57,1,-1,-1,-1
8,1,568.66,320.46,57.12,105.90,1,-1,-1,-1
8,2,344.80,336.52,140.78,92.96,1,-1,-1,-1
8,3,347.17,135.68,110.73,72.61,1,-1,-1,-1
8,4,341.25,6.56,141.85,58.26,1,-1,-1,-1
8,5,181.09,116.69,97.34,102.56,1,-1,-1,-1
8,6,13.69,238.57,48.59,102.88,1,-1,-1,-1
9,0,596.31,361.35,85.49,70.65,1,-1,-1,-1
9,1,554.14,327.51,66.65,104.49,1,-1,-1,-1
9,2,354.56,318.42,160.16,105.49,1,-1,-1,-1
9,3,340.46,146.78,103.05,69.62,1,-1,-1,-1
9,4,350.23,0.00,133.80,54.48,1,-1,-1,-1
9,5,168.10,105.64,104.67,120.40,1,-1,-1,-1
9,6,0.57,231.53,55.43,120.07,1,-1,-1,-1
